chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo,singer
0.09073726,0.1936094,0.5085177,0.19661182,0.38943702,0.21537288,0.11915963,0.52137446,0.13496919,0.15698029,0.13320005,0.071496524,0.08314078,0.094462074,0.10341029,0.07526464,0.08009146,0.11880977,0.079669654,0.10673731,0.108014904,0.09871211,0.108382955,0.060188662,-101.926216,106.45191,-29.247362,14.772878,-1.5319426,-0.6158381,3.6365466,6.1798906,-13.240553,-3.9136693,-11.995606,-6.7666273,-9.71732,24.339848,12.739446,13.910472,8.88482,10.66235,8.6887665,7.349364,7.3108373,6.7948985,7.7154317,9.0712805,7.847503,9.144402,2176.785567848882,493.557279220354,3.14428266893663,27.893371057154795,21.148786305762993,25.038032548776844,25.497740733236864,23.61277074650921,22.78934832111034,51.18482957941351,5.280317129018571,4.237454145221871,4.689183077199025,4.0795294491934815,4.170289315298943,3.1316088443923786,2.61379246409151,4138.536398121388,1079.7073026001497,1.4305825611308332,0.09596140547078658,0.02237308997320529,0.6665747088776833,171.875,0
0.24794805,0.07888966,0.32467288,0.13134405,0.16865773,0.54102844,0.17445262,0.2575183,0.10474155,0.1940362,0.20104302,0.11061653,0.21527432,0.11294952,0.17170027,0.14610593,0.14352238,0.19817124,0.112142935,0.18742052,0.10433046,0.13490799,0.16597487,0.12774394,-153.11601,101.56269,-31.26043,13.978291,-2.7384799,3.469988,-18.026543,-13.922161,-12.424875,-11.647601,-18.909853,-10.184456,-12.212165,54.809704,17.885979,15.431668,8.399412,9.042761,8.168259,9.408711,8.462892,8.832384,8.458119,10.583738,10.754592,11.580526,1902.912721835347,299.46437181746415,1.1396822348494993,29.26537551163622,24.18408289706694,26.24719633210487,25.853404575270005,28.337103549927,23.563796077166245,57.312412398669686,5.444412061743913,4.578031520773949,4.721073902576466,3.617054865287791,4.315719233841776,3.2418380540181766,4.136855866240184,3736.545702816066,880.0995490175852,0.9727467709117846,0.07927660672169812,0.033922837384550444,0.0637545664699935,151.65441176470588,0
0.119587034,0.09071353,0.41663003,0.032647654,0.044402957,0.13244224,0.122882225,0.69242257,0.13523835,0.13890015,0.105617434,0.09375029,0.18401869,0.13884936,0.15602149,0.07109619,0.08304924,0.15424883,0.09972234,0.16795069,0.105002314,0.16069685,0.16368876,0.12732211,-269.68384,146.86436,-19.146767,8.894126,1.8628483,-0.093213625,-10.192841,-12.479555,-13.838629,-10.428223,-8.707618,-9.779715,-20.995169,37.281082,19.108267,13.358261,9.25996,9.369402,7.822067,8.591619,9.498482,7.9891863,9.122298,9.558624,9.741931,9.814951,1191.6809151835641,321.6857247058458,1.4260078383859922,28.191733898166067,26.956366573957744,30.741453651547268,28.4644308846394,29.388219307447038,25.092449033908753,52.898259586924716,4.842854108956008,4.504602954610657,4.4435363264755345,4.20628273146731,4.138266039196495,3.8051359545146717,3.4822001072582136,2049.9889739181067,742.0169370292667,2.0141336663278904,0.050201797515725774,0.01911214845424536,1.2659069682286914,135.69078947368422,0
0.16214313,0.27637,0.21319242,0.21199313,0.33080682,0.06514645,0.1729176,0.32766816,0.27678064,0.4750017,0.1038814,0.15533376,0.14593154,0.13542204,0.14169376,0.13923103,0.14712651,0.08422271,0.12023009,0.16014993,0.14360885,0.13619545,0.10297047,0.14533694,-235.72435,96.72662,-8.742684,15.649698,-8.148091,-12.882553,-15.050612,-7.7605305,-16.167564,-11.398062,-15.725145,-10.49696,-14.997163,56.1581,17.347858,15.503998,11.895547,11.130339,9.54781,8.908855,8.713889,12.724022,9.468413,9.299247,8.444855,9.429287,2130.854846702325,478.23331440248666,2.6408522107934274,25.666075826771795,21.866810234130615,26.510567495432422,26.568750309589145,26.462988071515746,23.641950240972314,51.05670277789624,5.585904584228712,5.093004119256732,5.223965089634065,5.2409052755657815,5.092130912019575,4.084645796728376,4.4861878913443185,4393.937989019504,1023.7295511685714,1.2521512584124523,0.07718224953696703,0.031859011877460354,3.1894083669255564,122.76785714285714,0
0.14669436,0.27044436,0.24789919,0.3762996,0.26346016,0.16505347,0.29455912,0.09800154,0.15257685,0.18314227,0.18585859,0.29861337,0.11947095,0.17395112,0.16554914,0.19711806,0.19296706,0.13398995,0.21101329,0.11766535,0.1379319,0.15819888,0.13102001,0.20773481,-147.07072,117.38695,-40.940277,8.541516,-8.123703,1.5724969,-16.459448,2.931681,-5.8853745,-6.999225,-8.717484,2.2040663,-4.769749,65.61641,22.26686,19.932505,14.69691,13.121873,16.022945,12.311341,8.807,9.125583,8.236623,9.371104,8.292839,8.850572,1743.9920318726015,360.4352528275534,1.0984340151008096,27.52820286250918,24.07041278953047,25.57664231417832,24.71445389695913,25.51132495738208,20.975162297022926,54.067468635418045,5.545786175656928,4.875733775476363,5.0504791022229165,4.602391042230643,4.708409473555543,2.754927917264492,4.948344096368435,3127.433146421929,909.8589747758452,1.4764135215434533,0.08185999911433886,0.026231745372158718,-0.03271914198810257,83.16532258064517,0
0.56352365,0.10874425,0.15209569,0.08810992,0.22984879,0.18626551,0.22189423,0.25661016,0.07006661,0.24773102,0.124513164,0.2940635,0.13786301,0.09064485,0.13923684,0.12366777,0.16355197,0.12840009,0.13570906,0.22002293,0.08244298,0.24295397,0.13452178,0.11386633,-241.56311,109.07205,4.4895406,21.247774,8.325808,-1.4332161,3.61655,2.570584,-11.54865,10.196305,-4.579529,3.1789942,4.5546865,53.34811,21.704128,16.344467,12.851612,16.68677,10.434807,13.778313,9.489138,9.248996,11.449972,9.795079,11.00702,10.946787,2060.4901420420374,704.0898345607164,2.071090133597781,28.518121586485634,22.6574977003351,26.43686929575606,25.49261026294451,24.527805739525096,24.48822675241494,51.537614955823926,5.573790385077113,4.699257320942805,5.178061307046453,5.424019084904477,5.50262740231438,4.677984552749093,4.7429273893089565,4240.561367890162,1560.0488802813088,0.5990401271530025,0.06750366836561653,0.028354554081267226,0.6543791256600066,95.48611111111111,0
0.48019123,0.08713636,0.27226,0.2065216,0.4063159,0.30443814,0.051519897,0.35282633,0.031479232,0.13116579,0.0757121,0.20637877,0.18890263,0.07771621,0.17881528,0.14032845,0.1065845,0.15546077,0.065357834,0.11342211,0.069726564,0.15060249,0.09743856,0.1025595,-94.29222,103.05457,-41.763046,14.107625,-8.126291,0.27760223,-6.3341184,-4.801734,-16.969112,-5.790544,-13.441965,-8.526884,-2.5883188,26.228197,10.807388,9.651187,9.505865,9.01044,7.099653,7.7848997,6.8675942,7.2109,7.5987597,8.8991,7.619121,8.523074,2010.1202316619738,260.3857585196374,0.7896674887645034,25.820090482615452,21.727472663701292,26.602904146709367,25.620806904752385,26.591614096234807,23.758395368172735,52.08715581434001,5.164035358506298,3.9620396174806505,4.335529163026928,3.9972559910080614,4.4310224260410385,3.1321542053267892,2.6927550281543633,3708.056371547802,637.7243536339154,1.1905198246104338,0.09864876940359477,0.025894826181694138,0.013264394692014932,112.09239130434783,0
0.64253527,0.100645415,0.27777028,0.31766656,0.16755958,0.11911175,0.044281624,0.22737795,0.07914886,0.15352051,0.051917132,0.17800878,0.16410199,0.08181436,0.16569301,0.18102351,0.106486484,0.18226676,0.0764226,0.17082359,0.1261785,0.17667551,0.082975954,0.106587514,-197.99478,85.25595,-32.27862,50.783554,-17.545238,7.537977,-6.143745,7.422884,-15.435749,-12.057502,-12.573335,-9.888284,-17.571873,77.14693,21.885798,12.954451,12.602611,8.815529,6.175395,7.5516973,7.7790494,8.10909,7.3985558,9.45012,9.379304,8.909577,2045.9318640634137,380.5035753946544,-0.6857804644385831,28.468840686251305,27.835352707190996,24.860380800543247,28.665387090394802,27.81784086654917,26.016342051495922,59.18532272151598,5.564107914219872,5.111764656741838,4.177339917578834,4.654437167109322,4.5409222512381815,3.892305274699894,5.663000026696542,4237.930373121487,776.5121342604018,-0.7854002074252806,0.06604876337185958,0.026442412629658987,0.8630912518575605,128.90625,0
0.2547751,0.24581538,0.31435028,0.08945373,0.15052062,0.15287319,0.3358156,0.32644352,0.15494967,0.1836127,0.21601829,0.17705156,0.22443838,0.18805432,0.1826513,0.14072037,0.15368427,0.15280959,0.19309716,0.22129518,0.14692871,0.146921,0.16601714,0.15454485,-199.64287,130.64685,-25.461308,12.267588,-4.287203,-5.6288657,-10.930857,-5.2239933,-13.860259,-11.640377,-12.898561,-8.868676,-6.4670987,51.10902,17.641027,15.134617,12.420147,13.820758,9.032034,9.941581,8.41044,7.8436937,7.2689295,9.666626,9.0867815,9.835215,1511.2703881945235,352.3845877661652,3.5218668819817798,27.734580709456203,24.53062098027293,27.817471724130247,25.026618100882477,25.008681678424168,22.750255200503265,50.41212424713116,5.714715869415106,5.064390403174167,5.25627810991953,4.70234035515274,4.928367202553692,3.4776291767427656,3.6363801808381515,2692.0740010642417,807.4494355693392,3.0189382571819325,0.0599406201625387,0.023050825352463215,1.6336344148967379,161.1328125,0
0.6451448,0.13539186,0.06459625,0.14775053,0.3031451,0.42633015,0.12995799,0.18685955,0.023651315,0.013945285,0.13327235,0.12539381,0.14062876,0.106976524,0.09551451,0.15658978,0.14348158,0.18944597,0.12033295,0.1352298,0.059718844,0.049383193,0.115265094,0.07972833,-343.35907,84.77865,-27.51167,43.588432,1.8212496,10.207386,-3.5856645,-0.3958717,-16.747072,-10.750423,-17.832235,-8.672216,-23.694998,61.84106,22.289736,17.689922,19.51179,16.258305,16.883974,9.083206,8.476456,10.494759,13.930168,10.168473,9.932332,12.03642,1935.8566620012032,472.8925929256038,0.3763420824049056,27.9839374966512,24.55224406949959,28.130319926495954,29.156542755015604,28.775451908504035,27.609377297422917,59.2331214642,6.034847381596394,4.6598822475087385,4.8334692730491815,4.841887105898069,4.925500335559002,5.087563322417726,6.124290238965314,3859.539645279082,853.3755835600724,-0.08877467753946384,0.07222283352895148,0.03934361176738083,0.7037366876264024,107.421875,0
