chroma_mean_0,chroma_mean_1,chroma_mean_2,chroma_mean_3,chroma_mean_4,chroma_mean_5,chroma_mean_6,chroma_mean_7,chroma_mean_8,chroma_mean_9,chroma_mean_10,chroma_mean_11,chroma_std_0,chroma_std_1,chroma_std_2,chroma_std_3,chroma_std_4,chroma_std_5,chroma_std_6,chroma_std_7,chroma_std_8,chroma_std_9,chroma_std_10,chroma_std_11,mfccs_mean_0,mfccs_mean_1,mfccs_mean_2,mfccs_mean_3,mfccs_mean_4,mfccs_mean_5,mfccs_mean_6,mfccs_mean_7,mfccs_mean_8,mfccs_mean_9,mfccs_mean_10,mfccs_mean_11,mfccs_mean_12,mfccs_std_0,mfccs_std_1,mfccs_std_2,mfccs_std_3,mfccs_std_4,mfccs_std_5,mfccs_std_6,mfccs_std_7,mfccs_std_8,mfccs_std_9,mfccs_std_10,mfccs_std_11,mfccs_std_12,cent_mean,cent_std,cent_skew,contrast_mean_0,contrast_mean_1,contrast_mean_2,contrast_mean_3,contrast_mean_4,contrast_mean_5,contrast_mean_6,contrast_std_0,contrast_std_1,contrast_std_2,contrast_std_3,contrast_std_4,contrast_std_5,contrast_std_6,rolloff_mean,rolloff_std,rolloff_skew,zrate_mean,zrate_std,zrate_skew,tempo_0,singer
0.36913815,0.15664165,0.18955648,0.11028749,0.24904862,0.2706729,0.09896559,0.3687469,0.2039402,0.22439443,0.16144218,0.1841199,0.19916031,0.12674461,0.1707192,0.121333346,0.15903299,0.23085698,0.08633571,0.23900555,0.15691324,0.17814206,0.20304964,0.1333959,-237.81346,109.3915,-40.139557,27.18641,0.37027743,10.5421505,-5.9558425,-0.6763498,-6.0745316,-11.904043,-8.441753,3.6892595,-1.1034282,59.49444,28.46996,15.493886,12.736898,11.484194,9.754059,10.956077,7.7905946,14.011158,11.250484,10.938446,12.680974,10.786827,1795.4682886245728,502.83327696002175,0.16751944622451506,22.064837170177178,24.932836591677216,28.741069312126832,28.070963119596936,27.15523887692447,23.69489026119163,51.835701792850124,4.352678768632821,5.535271284925552,5.407083329932228,4.7661147727038795,4.468661197300317,3.8358456970098413,5.405283834958373,3249.4590330477863,954.9662258894169,0.16781877171710088,0.08764318342805541,0.035899117697881636,0.14734270487761192,88.90086206896552,ΔΕΡΜΙΤΖΟΓΙ
0.17724545,0.37867984,0.21774347,0.21767688,0.11263009,0.201433,0.41785485,0.27930295,0.30878434,0.07223947,0.11849432,0.21915339,0.11355478,0.15906565,0.19181126,0.17093953,0.13469125,0.14522506,0.15633214,0.12592219,0.13376334,0.08282129,0.10918557,0.20221141,-239.371,161.5971,-35.46108,18.31903,-10.363593,-22.42244,-10.302563,-23.348724,-13.131919,-10.328837,-8.039458,-4.7202024,-5.905871,55.184875,30.688766,11.313907,6.3988385,5.4885054,6.535006,4.905558,6.700587,6.0200953,6.7026286,6.730866,7.555417,8.554062,1146.0674877464944,275.6906912472754,3.042523807507912,17.76489473245339,19.637634161921515,24.3208875834033,23.833126694298727,22.092163229527323,23.361676388534338,48.880095567976234,4.131174022535144,4.379196314158027,3.9643989145046197,3.7257432228351557,3.0171001420070933,3.0139335065763078,5.005069545838747,2114.221689797313,552.1043263498412,2.0021476140036345,0.05690898941854717,0.019346690436645348,3.9822497527920278,117.1875,ΝΙΚΟΛΑΟΣ Χ
0.18529388,0.20906492,0.0858945,0.22732984,0.04077645,0.13071948,0.18424352,0.3129404,0.61766446,0.28395012,0.12745579,0.11336086,0.1289243,0.16534983,0.07883283,0.13582817,0.08470475,0.1394302,0.15518194,0.16228062,0.13424225,0.12600215,0.1591645,0.12709069,-231.37761,126.01874,-41.10629,29.425938,-1.2589519,1.4025484,-4.087983,-8.630594,-6.6227646,-13.847375,-15.253296,-4.134334,-2.6160069,51.010414,29.902143,13.643665,10.149937,9.584273,7.7253833,8.154673,7.3017707,7.2144747,8.96652,10.532073,11.002317,10.440868,1654.7461889442434,394.68290048909427,0.6132165883875212,20.72594112304217,23.31505131929043,30.279093777635417,27.96081158406573,28.83833959475436,26.419148182393638,52.295938439997194,4.208371541984295,5.305352137836635,5.613246155246025,4.250803275851726,4.05674281736354,3.645309923682856,4.1105227373216,3032.935004797242,761.1327512358648,0.6494361232993132,0.089781097963507,0.03564383987957405,0.8963689234002843,112.09239130434783,ΔΕΡΜΙΤΖΟΓΙ
0.26684704,0.34179106,0.28229856,0.2355366,0.2862598,0.2898657,0.050056566,0.07324385,0.06806865,0.33343115,0.2880781,0.23660049,0.15948361,0.1786848,0.15702616,0.20042531,0.15060262,0.14270324,0.075811245,0.11426846,0.09934099,0.1457847,0.12543647,0.12908135,-313.6594,139.8655,-74.79096,11.764509,-0.502642,-15.804693,-4.3622584,-15.028543,-16.976154,-8.717412,2.247284,9.60016,7.252763,66.11348,31.028559,18.494719,9.894548,9.340107,7.045372,6.5372767,6.344908,7.889674,8.011797,10.319212,11.899299,9.353675,1530.2168721280916,368.6354904710973,-1.7194942104844018,24.199343285490595,23.1431522396779,28.416060056476415,27.732021070523203,25.262742961237475,26.27449963071816,51.457090618804756,4.144971863931984,4.569973811058589,4.590689132814108,4.167120080438327,3.506548856990317,3.0640583481673715,5.177993102382742,2575.791733289441,645.9798286970738,-0.9493757807561747,0.09501571023796088,0.028886509924428896,-0.6038409420959389,103.125,ΓΙΩΡΓΗΣ ΚΑ
0.3123649,0.10175096,0.21919751,0.092122115,0.3133588,0.16500472,0.059253566,0.4817445,0.2807728,0.20390664,0.09734023,0.28132176,0.18625061,0.08887427,0.18979137,0.09902514,0.18832158,0.15204251,0.0804781,0.16390069,0.10931546,0.20459381,0.1276047,0.12278121,-230.48749,129.75569,-32.938816,22.48634,-5.1034613,3.2863104,-2.826015,-6.5673122,-9.422126,-7.7781963,-9.146242,-3.0025985,-8.665272,51.391205,25.990976,12.209347,8.754948,8.030353,6.5136337,8.885357,7.8716044,9.650968,8.915732,11.622407,12.030336,9.784885,1582.669620899137,452.3423190822517,0.6695709588238618,27.61118910920615,21.48252614119246,28.270014404858617,29.74933738123562,28.350891322339226,25.073624768678137,51.9646211719914,5.433445128906629,4.601274118995406,5.284670368872072,4.663038792515332,4.545483236546734,3.9382121381933937,4.547130821929091,2940.007265836671,867.704500890183,0.5112765954757456,0.07920394683561079,0.03832992150883083,0.36571006601898476,112.09239130434783,ΔΕΡΜΙΤΖΟΓΙ
0.23246577,0.08028083,0.22815412,0.08074678,0.05587281,0.29939094,0.14375345,0.43808225,0.27431333,0.33483082,0.26817623,0.18102355,0.17386593,0.096278705,0.15268248,0.085663594,0.07829802,0.1796021,0.11882745,0.23714794,0.14491875,0.13728088,0.19833082,0.15316291,-206.64778,91.21731,3.236978,-1.1944778,9.503449,-10.0200405,-18.097095,5.323091,-28.671043,-3.5334656,-24.358038,-5.1717772,-17.309557,77.54074,21.817272,12.782974,8.862969,7.0172877,6.9942174,7.1294527,7.9714413,9.592244,7.2479672,10.829424,7.322592,8.445104,2649.5368667260786,819.7258780354988,-0.5377000916631232,19.98298223594039,21.190242230441765,29.37164030511889,27.4497472311499,26.261500639798523,20.65716005456853,52.21343997562262,4.746633038704655,3.942086514179053,5.181002095792207,4.272035346755679,3.672107717898883,3.0704125323597524,6.486066626641395,6301.6687056874225,1976.5274483426526,-1.4001506529206462,0.09126945900123305,0.03395038850830347,0.8074365371589548,122.76785714285714,ΔΕΡΜΙΤΖΟΓΙ
0.2719977,0.2764549,0.25527787,0.39068326,0.2098079,0.11266751,0.122165166,0.12802589,0.14582595,0.10886214,0.24739555,0.23605578,0.18234934,0.21528499,0.2095237,0.19077924,0.14649704,0.11924397,0.09677508,0.14862484,0.22615883,0.1563107,0.189813,0.20347457,-295.2962,136.80923,-56.89904,-16.040638,0.76001835,-25.71458,-20.973936,-20.86901,-16.66311,-4.0191255,1.6583891,6.122766,7.0367556,55.392372,31.964384,16.696962,11.02536,7.0277824,7.9964595,8.831288,7.4051776,6.6910005,5.1766496,7.4967227,10.744524,10.768417,1254.8090915167704,333.102475253568,-1.2810613994164166,22.83628705382905,21.272479956497715,29.87446347722993,24.77498964979496,25.488599330664655,24.067707737835597,49.02341118801845,4.460815388251831,5.213748566287132,4.489178880545608,3.5877520915177117,3.3010718931723457,2.6713821508883426,4.872961362398443,2086.928512253391,575.8922491375007,-0.5879425011302714,0.06753086773834212,0.02145711439535076,-0.5126335799081763,103.125,ΓΙΩΡΓΗΣ ΚΑ
0.18370454,0.19547866,0.12593873,0.17423362,0.053637844,0.13028559,0.11334799,0.38591197,0.5571703,0.26004282,0.21183085,0.19403286,0.12780218,0.15158811,0.10866935,0.14177556,0.08205475,0.15070736,0.13894357,0.15912378,0.14797781,0.18484831,0.14564408,0.13054502,-226.69235,111.78274,-28.148445,24.768642,1.1977975,2.5819604,-5.0291314,-8.300475,-9.109745,-13.092742,-15.774523,-5.9597945,-5.2441273,65.14424,26.61668,12.278103,9.614704,6.932962,7.3376102,7.527554,8.272245,7.569952,8.823818,10.439105,10.469638,9.969426,1699.743401105226,506.7494564692398,1.2500041963930586,25.210454297019844,23.615895433481583,30.447640539186548,27.24849479313127,27.59179692655437,25.135987422449265,50.25119736457301,4.961425563644866,5.193045085554027,5.344469971522814,4.244284726879611,4.006908545057109,3.5486805397697103,5.3289302005922154,3179.228841726676,995.247343871043,1.1877866472373544,0.07309861563615218,0.03153324370779042,0.6599749528564995,112.09239130434783,ΔΕΡΜΙΤΖΟΓΙ
0.3827508,0.119411975,0.14232992,0.074318595,0.24995273,0.06489112,0.17631571,0.28401554,0.17037764,0.28484052,0.16767631,0.42541853,0.22508676,0.12499386,0.16103217,0.09023013,0.16032521,0.103816725,0.11243415,0.16694865,0.15493464,0.25953326,0.13858005,0.16685592,-306.4578,132.92804,-65.19489,23.228792,-10.475397,-16.681581,-3.5128055,-20.257177,-16.457794,-10.118806,-14.373825,-16.359735,-4.3228197,52.51559,24.70852,15.747012,14.841739,13.065271,9.209348,7.303259,7.4486284,7.3353047,10.280608,9.032211,7.973039,9.294944,1558.3360855988735,367.3887268267604,0.45435958616647093,25.146632886999132,22.02618258519134,27.92635420405171,27.588895146249865,26.950582780520435,27.051443557557317,52.71525215146541,4.738788946869171,4.792299852963134,5.321578261550044,4.634946744554315,3.9237209889738285,3.730033118938253,5.068194065632651,2878.1285644413224,646.7298135046128,-0.1682839251578773,0.093215038732022,0.03574266864565601,0.55434884485919,112.09239130434783,ΑΝΔΡΕΑΣ ΡΟ
0.09004565,0.5716251,0.20273119,0.07841178,0.07057912,0.1298481,0.44653726,0.1061355,0.3271056,0.05988188,0.21875682,0.12212936,0.089460604,0.14146687,0.17592268,0.13640098,0.12455533,0.085264064,0.16710682,0.09407019,0.16212249,0.07840479,0.14196065,0.14939928,-248.54707,162.81451,-18.1869,25.957714,3.9220912,1.5502709,-4.943849,-5.3774953,-11.259961,-15.878704,-7.1731963,-2.5184414,-8.85035,64.830505,33.958633,14.758134,11.714742,8.639373,7.33,9.244255,7.174719,7.68912,8.317348,10.425348,6.623708,8.772883,1158.0749011237165,414.2392259764241,2.6738600963901984,20.766373078506252,21.65385478091353,27.969605135759295,25.722916833175965,25.35292323302577,22.816981505113798,50.25255883225571,4.031083309759622,4.899069079663022,4.775117333985922,4.304349354513753,3.869037176897196,3.259016379892313,6.069665959522341,2126.9223803305667,849.2234683462852,2.0992975105334692,0.04816767360117344,0.01656476084969109,3.8808078063675513,103.125,ΔΕΡΜΙΤΖΟΓΙ
